subject,professor,room,weekday,start_time,end_tim
일반물리학및실험1,권상우,407-B122(정보문화관P P205 강의실),화,20:40,22:20
일반물리학및실험1,권상우,308-325(과학관  일반물리학실험실A),화,20:40,22:20
일반물리학및실험1,김선배,308-303(과학관 D303 강의실),목,18:00,20:30
일반물리학및실험1,김선배,308-325(과학관  일반물리학실험실A),목,18:00,20:30
일반물리학및실험1,김선배,308-303(과학관 D303 강의실),목,20:40,22:20
일반물리학및실험1,김선배,308-325(과학관  일반물리학실험실A),목,20:40,22:20
일반화학및실험1,윤성욱,201-111(사회과학/경영관 M111 강의실),월,10:00,11:30
일반화학및실험1,윤성욱,201-111(사회과학/경영관 M111 강의실),월,10:00,11:30
일반화학및실험1,윤성욱,308-407(과학관  일반화학실험실A),월,10:00,11:30
일반화학및실험1,윤성욱,201-111(사회과학/경영관 M111 강의실),수,13:00,14:30
일반화학및실험1,윤성욱,201-111(사회과학/경영관 M111 강의실),수,13:00,14:30
일반화학및실험1,윤성욱,308-407(과학관  일반화학실험실A),수,13:00,14:30
일반화학및실험1,윤성욱,201-111(사회과학/경영관 M111 강의실),수,14:30,16:30
일반화학및실험1,윤성욱,201-111(사회과학/경영관 M111 강의실),수,14:30,16:30
일반화학및실험1,윤성욱,308-407(과학관  일반화학실험실A),수,14:30,16:30
일반화학및실험1,김갑수,407-203(정보문화관P P401 강의실_스마트),화,12:00,13:30
일반화학및실험1,김갑수,308-407(과학관  일반화학실험실A),화,12:00,13:30
일반화학및실험1,김갑수,407-203(정보문화관P P401 강의실_스마트),화,12:00,13:30
일반화학및실험1,김갑수,407-203(정보문화관P P401 강의실_스마트),목,10:00,12:00
일반화학및실험1,김갑수,308-407(과학관  일반화학실험실A),목,10:00,12:00
일반화학및실험1,김갑수,407-203(정보문화관P P401 강의실_스마트),목,10:00,12:00
일반화학및실험1,김갑수,407-203(정보문화관P P401 강의실_스마트),목,12:00,13:30
일반화학및실험1,김갑수,308-407(과학관  일반화학실험실A),목,12:00,13:30
일반화학및실험1,김갑수,407-203(정보문화관P P401 강의실_스마트),목,12:00,13:30
일반화학및실험1,유미경,207-324(혜화관 324 324 강의실),수,12:30,14:00
일반화학및실험1,유미경,308-407(과학관  일반화학실험실A),수,12:30,14:00
일반화학및실험1,유미경,207-324(혜화관 324 324 강의실),수,12:30,14:00
일반화학및실험1,유미경,207-324(혜화관 324 324 강의실),금,10:00,12:00
일반화학및실험1,유미경,308-407(과학관  일반화학실험실A),금,10:00,12:00
일반화학및실험1,유미경,207-324(혜화관 324 324 강의실),금,10:00,12:00
일반화학및실험1,유미경,207-324(혜화관 324 324 강의실),금,12:00,13:30
일반화학및실험1,유미경,308-407(과학관  일반화학실험실A),금,12:00,13:30
일반화학및실험1,유미경,207-324(혜화관 324 324 강의실),금,12:00,13:30
일반화학및실험1,조현진,102-361(학술/문화관 K361 361 강의실),수,16:00,17:30
일반화학및실험1,조현진,308-407(과학관  일반화학실험실A),수,16:00,17:30
일반화학및실험1,조현진,102-361(학술/문화관 K361 361 강의실),수,16:00,17:30
일반화학및실험1,조현진,102-361(학술/문화관 K361 361 강의실),금,12:00,14:00
일반화학및실험1,조현진,308-407(과학관  일반화학실험실A),금,12:00,14:00
일반화학및실험1,조현진,102-361(학술/문화관 K361 361 강의실),금,12:00,14:00
일반화학및실험1,조현진,102-361(학술/문화관 K361 361 강의실),금,16:00,17:30
일반화학및실험1,조현진,308-407(과학관  일반화학실험실A),금,16:00,17:30
일반화학및실험1,조현진,102-361(학술/문화관 K361 361 강의실),금,16:00,17:30
일반화학및실험1,김갑수,407-203(정보문화관P P401 강의실_스마트),화,13:30,15:00
일반화학및실험1,김갑수,407-203(정보문화관P P401 강의실_스마트),화,13:30,15:00
일반화학및실험1,김갑수,308-407(과학관  일반화학실험실A),화,13:30,15:00
일반화학및실험1,김갑수,407-203(정보문화관P P401 강의실_스마트),목,13:30,15:00
